Date,Price,Open,High,Low,Vol.,Change
7-Sep-17,161.26,162.09,162.24,160.36,21.93M,-0.40%
6-Sep-17,161.91,162.71,162.99,160.52,21.65M,-0.10%
5-Sep-17,162.08,163.75,164.25,160.56,29.54M,-1.20%
1-Sep-17,164.05,164.8,164.94,163.63,16.59M,0.03%
31-Aug-17,164,163.64,164.52,163.48,26.79M,0.40%
30-Aug-17,163.35,163.8,163.89,162.61,27.27M,0.27%
29-Aug-17,162.91,160.1,163.12,160,29.52M,0.89%
28-Aug-17,161.47,160.14,162,159.93,25.97M,1.01%
25-Aug-17,159.86,159.65,160.56,159.27,25.48M,0.37%
24-Aug-17,159.27,160.43,160.74,158.55,19.82M,-0.44%
23-Aug-17,159.98,159.07,160.47,158.88,19.40M,0.13%
22-Aug-17,159.78,158.23,160,158.02,21.60M,1.63%
21-Aug-17,157.21,157.5,157.89,155.11,26.37M,-0.18%
18-Aug-17,157.5,157.86,159.5,156.72,27.43M,-0.23%
17-Aug-17,157.86,160.52,160.71,157.84,27.94M,-1.92%
16-Aug-17,160.95,161.94,162.51,160.15,27.67M,-0.40%
15-Aug-17,161.6,160.66,162.19,160.14,29.47M,1.09%
14-Aug-17,159.85,159.32,160.21,158.75,22.12M,1.50%
11-Aug-17,157.48,156.6,158.57,156.07,26.26M,1.39%
10-Aug-17,155.32,159.9,160,154.63,40.80M,-3.56%
9-Aug-17,161.06,159.26,161.27,159.11,26.13M,0.61%
8-Aug-17,160.08,158.6,161.83,158.27,36.21M,0.80%
7-Aug-17,158.81,157.06,158.92,156.67,21.87M,1.55%
4-Aug-17,156.39,156.07,157.4,155.69,20.56M,0.53%
3-Aug-17,155.57,157.05,157.21,155.02,27.10M,-1.00%
2-Aug-17,157.14,159.28,159.75,156.16,69.94M,4.73%
1-Aug-17,150.05,149.1,150.22,148.41,35.37M,0.89%
31-Jul-17,148.73,149.9,150.33,148.13,19.85M,-0.52%
28-Jul-17,149.5,149.89,150.23,149.19,17.21M,-0.70%
27-Jul-17,150.56,153.75,153.99,147.3,32.48M,-1.89%
26-Jul-17,153.46,153.35,153.93,153.06,15.78M,0.47%
25-Jul-17,152.74,151.8,153.84,151.8,18.85M,0.43%
24-Jul-17,152.09,150.58,152.44,149.9,21.49M,1.21%
21-Jul-17,150.27,149.99,150.44,148.88,26.25M,-0.05%
20-Jul-17,150.34,151.5,151.74,150.19,17.24M,-0.45%
19-Jul-17,151.02,150.48,151.42,149.95,20.92M,0.63%
18-Jul-17,150.08,149.2,150.13,148.67,17.87M,0.35%
17-Jul-17,149.56,148.82,150.9,148.57,23.79M,0.35%
14-Jul-17,149.04,147.97,149.33,147.33,20.13M,0.86%
13-Jul-17,147.77,145.5,148.49,145.44,25.20M,1.39%
12-Jul-17,145.74,145.87,146.18,144.82,24.88M,0.14%
11-Jul-17,145.53,144.73,145.85,144.38,19.78M,0.32%
